,Unnamed: 0,deltaG,fraction of absolute ddG below 0.2,fraction of absolute ddG below 0.4,fraction of absolute ddG below 0.6,fraction of absolute ddG below 0.8,fraction of absolute ddG below 1.0,fraction of ddG above -0.2,fraction of ddG above -0.4,fraction of ddG above -0.6,fraction of ddG above -0.8,fraction of ddG above 0,fraction of deltaG zero,higher-level coarse-grained structure,length of coarse-grained structure including exterior,length of higher-level coarse-grained structure,lower quartile ddG incl inf,median deltadeltaG,number of basepairs,structure,N,stacks
0,0,0.2735229745278995,0.3597131047896912,0.3929248723559446,0.4183564308290785,0.4396547532214928,0.4593240943350352,0.3655968879163627,0.3942377826404085,0.4184293702893265,0.4396547532214928,0.3355458302941892,0.08599999999999998,[],8,2,0.0,0.10000014305114746,6,...((((((...))))....))........,199143498204.496,2
1,1,0.3082828224307359,0.2716273849607183,0.2948148148148148,0.31627384960718297,0.3406734006734007,0.3628058361391695,0.2763636363636364,0.2949943883277217,0.31627384960718297,0.3406734006734007,0.2563860830527497,0.010000000000000007,[][],10,4,0.10000002384185792,0.5999999046325684,7,((...(((....)))...))((......)),37622401187.58,3
2,2,0.6971544757697398,0.21447606142728093,0.2483514001806685,0.27402890695573623,0.2972222222222222,0.31978319783197834,0.24948057813911476,0.2708220415537489,0.28886630532972,0.306616982836495,0.2229223125564589,0.016000000000000014,[],12,2,0.4999998807907105,0.7000002861022949,8,.((((..((..((.....))..))..)))),3294056265473.496,3
3,3,0.4990123410467748,0.20770919067215365,0.2418655692729767,0.271522633744856,0.29876543209876544,0.32430727023319617,0.22784636488340196,0.25218106995884776,0.27607681755829905,0.300877914951989,0.20277091906721534,0.18999999999999995,[],11,2,0.5,0.9000000953674316,7,(((.((......((...)).....))))).,59185768630.41,3
4,4,0.2254310352406625,0.1896551724137931,0.21455938697318008,0.24140325670498086,0.27097701149425285,0.2991139846743295,0.19178639846743292,0.21475095785440607,0.24145114942528734,0.2710009578544061,0.16470306513409966,0.07199999999999995,[][],11,4,0.7000000476837158,1.0999999679625034,7,(((..((...)).....)))..((....)),108481677.15200001,3
5,5,0.3951882858250181,0.20218503021850304,0.22638307763830776,0.2443747094374709,0.26269177126917714,0.2809158530915853,0.21645746164574614,0.23403068340306835,0.249163179916318,0.26501627150162715,0.19244537424453745,0.04400000000000004,[],14,2,0.7000000476837158,1.0,8,..((((..((((.......)).)).)).)),3968735770.0439997,4
6,6,0.48729508167102203,0.25318761384335153,0.2894808743169399,0.32479508196721313,0.35229963570127504,0.3805327868852459,0.2844945355191257,0.3089936247723133,0.3354735883424408,0.35881147540983604,0.2588342440801457,0.024000000000000018,[],8,2,0.20000004768371585,0.7000000476837158,6,(((.......(((.......)))..)))..,267511826153.488,2
7,7,0.3569105735306091,0.2646567299006323,0.2966350496838302,0.32908762420957544,0.356639566395664,0.38407859078590784,0.2815040650406504,0.3051942186088528,0.3322719060523939,0.3577687443541102,0.25582655826558265,0.016000000000000014,[][],12,4,0.19999992847442627,0.699999988079071,6,((.......))...((.((.....)).)).,76467408361.31999,3
8,8,0.7125531890924941,0.2549172576832151,0.2874704491725769,0.3111111111111111,0.3325531914893617,0.3512293144208038,0.2857446808510638,0.3065011820330969,0.3227659574468085,0.3394562647754137,0.2647990543735225,0.06000000000000005,[],12,2,0.20000004768371585,0.4000000953674317,8,((((.((..((......)).)).))))...,2896543007686.1396,3
9,9,0.5679671475070948,0.20720967373944787,0.2373716632443532,0.26130504220853296,0.2852612365959388,0.3051562856490988,0.23073237508555786,0.2511749942961442,0.2691079169518595,0.2893223819301848,0.20978781656399725,0.026000000000000027,[],12,2,0.5999999046325684,0.5999999046325684,9,.(((....((.((((...))))))..))).,461207554457.474,3
