,25percentile,50percentile,5percentile,75percentile,95percentile,element length,role in structure
0,0.4,1.7,0.0,2.7,5.3,3,stack (middle)
1,0.0,0.8,0.0,2.2,4.8,4,stack (middle)
2,0.0,0.3,0.0,1.6,4.2,5,stack (middle)
3,0.0,0.1,0.0,1.0,3.6,6,stack (middle)
4,0.0,0.0,0.0,0.6,3.0,7,stack (middle)
5,0.0,0.0,0.0,0.3,2.5,8,stack (middle)
6,0.0,0.0,0.0,0.1,2.0,9,stack (middle)
7,0.0,0.0,0.0,0.1,1.7,10,stack (middle)
8,0.0,0.0,0.0,0.0,1.0,11,stack (middle)
9,0.0,0.0,0.0,0.8,1.2,12,stack (middle)
10,0.0,0.0,0.0,0.0,0.7,13,stack (middle)
11,0.8,1.9,0.0,2.8,5.1,2,stack (end)
12,0.4,1.3,0.0,2.3,4.5,3,stack (end)
13,0.2,0.8,0.0,1.9,4.0,4,stack (end)
14,0.1,0.6,0.0,1.6,3.5,5,stack (end)
15,0.0,0.5,0.0,1.3,3.1,6,stack (end)
16,0.0,0.4,0.0,1.2,2.8,7,stack (end)
17,0.0,0.4,0.0,1.2,2.6,8,stack (end)
18,0.0,0.4,0.0,1.3,2.5,9,stack (end)
19,0.0,0.3,0.0,1.1,2.6,10,stack (end)
20,0.0,0.4,0.0,1.3,2.4,11,stack (end)
21,0.0,0.0,0.0,0.7,1.3,12,stack (end)
22,0.0,0.1,0.0,0.3,1.2,13,stack (end)
23,0.0,0.3,0.0,1.5,3.7,3,bulge (middle)
24,0.0,0.3,0.0,1.5,3.6,4,bulge (middle)
25,0.0,0.3,0.0,1.4,3.6,5,bulge (middle)
26,0.0,0.3,0.0,1.5,3.6,6,bulge (middle)
27,0.0,0.3,0.0,1.2,3.6,7,bulge (middle)
28,0.0,0.3,0.0,1.5,3.5,8,bulge (middle)
29,0.0,0.3,0.0,1.4,3.5,9,bulge (middle)
30,0.0,0.3,0.0,1.6,3.7,10,bulge (middle)
31,0.0,0.4,0.0,1.6,3.9,11,bulge (middle)
32,0.0,0.1,0.0,0.8,3.7,12,bulge (middle)
33,0.0,0.3,0.0,1.1,2.5,13,bulge (middle)
34,0.3,1.2,0.0,2.6,4.8,1,bulge (end)
35,0.0,0.8,0.0,2.0,4.2,2,bulge (end)
36,0.1,0.8,0.0,2.1,4.2,3,bulge (end)
37,0.1,0.9,0.0,2.1,4.3,4,bulge (end)
38,0.1,0.8,0.0,2.1,4.2,5,bulge (end)
39,0.1,0.9,0.0,2.2,4.3,6,bulge (end)
40,0.0,0.7,0.0,2.0,4.2,7,bulge (end)
41,0.1,0.7,0.0,1.9,3.7,8,bulge (end)
42,0.1,1.0,0.0,2.2,4.2,9,bulge (end)
43,0.1,1.0,0.0,2.4,4.3,10,bulge (end)
44,0.2,0.9,0.0,1.9,4.4,11,bulge (end)
45,0.1,0.5,0.0,0.7,1.5,12,bulge (end)
46,0.4,1.1,0.1,1.9,2.7,13,bulge (end)
47,0.0,0.2,0.0,1.3,3.4,3,internal loop (middle)
48,0.0,0.3,0.0,1.6,3.7,4,internal loop (middle)
49,0.0,0.4,0.0,1.6,3.8,5,internal loop (middle)
50,0.0,0.4,0.0,1.6,3.7,6,internal loop (middle)
51,0.0,0.4,0.0,1.6,3.7,7,internal loop (middle)
52,0.0,0.4,0.0,1.5,3.5,8,internal loop (middle)
53,0.0,0.3,0.0,1.5,3.2,9,internal loop (middle)
54,0.0,0.0,0.0,1.5,3.1,10,internal loop (middle)
55,0.0,0.4,0.0,1.6,2.9,11,internal loop (middle)
56,0.4,2.9,0.0,5.2,7.4,1,internal loop (end)
57,0.3,1.7,0.0,3.2,5.1,2,internal loop (end)
58,0.3,1.7,0.0,3.4,5.8,3,internal loop (end)
59,0.4,1.9,0.0,3.4,5.4,4,internal loop (end)
60,0.5,1.9,0.0,3.4,5.4,5,internal loop (end)
61,0.5,1.9,0.0,3.3,5.3,6,internal loop (end)
62,0.5,1.9,0.0,3.2,5.4,7,internal loop (end)
63,0.3,1.7,0.0,3.1,5.1,8,internal loop (end)
64,0.3,1.5,0.0,3.2,4.7,9,internal loop (end)
65,0.0,0.9,0.0,1.8,3.1,10,internal loop (end)
66,0.6,1.4,0.1,3.2,5.0,11,internal loop (end)
67,0.0,0.0,0.0,0.4,2.4,3,hairpin loop (middle)
68,0.0,0.0,0.0,0.4,2.5,4,hairpin loop (middle)
69,0.0,0.0,0.0,0.4,2.4,5,hairpin loop (middle)
70,0.0,0.0,0.0,0.5,2.5,6,hairpin loop (middle)
71,0.0,0.0,0.0,0.6,2.6,7,hairpin loop (middle)
72,0.0,0.0,0.0,0.7,2.6,8,hairpin loop (middle)
73,0.0,0.0,0.0,0.9,3.0,9,hairpin loop (middle)
74,0.0,0.1,0.0,1.1,3.2,10,hairpin loop (middle)
75,0.0,0.2,0.0,1.2,3.3,11,hairpin loop (middle)
76,0.0,0.3,0.0,1.3,3.5,12,hairpin loop (middle)
77,0.0,0.3,0.0,1.4,3.5,13,hairpin loop (middle)
78,0.0,0.3,0.0,1.4,3.6,14,hairpin loop (middle)
79,0.0,0.4,0.0,1.5,3.6,15,hairpin loop (middle)
80,0.0,0.3,0.0,1.4,3.6,16,hairpin loop (middle)
81,0.0,0.3,0.0,1.5,3.5,17,hairpin loop (middle)
82,0.0,0.3,0.0,1.4,3.5,18,hairpin loop (middle)
83,0.0,0.3,0.0,1.5,3.5,19,hairpin loop (middle)
84,0.0,0.3,0.0,1.5,3.6,20,hairpin loop (middle)
85,0.0,0.3,0.0,1.4,3.2,21,hairpin loop (middle)
86,0.0,0.3,0.0,1.5,3.5,22,hairpin loop (middle)
87,0.0,0.1,0.0,1.1,2.9,23,hairpin loop (middle)
88,0.0,0.0,0.0,1.2,2.9,24,hairpin loop (middle)
89,0.0,0.0,0.0,0.4,2.5,3,hairpin loop (end)
